event,gender,count,percentage
GeoBeer #10,female,31,30.392156862745097
GeoBeer #10,male,71,69.6078431372549
GeoBeer #11,female,23,26.436781609195403
GeoBeer #11,male,64,73.5632183908046
GeoBeer #12,female,25,27.77777777777778
GeoBeer #12,male,65,72.22222222222221
GeoBeer #13,female,42,27.450980392156865
GeoBeer #13,male,111,72.54901960784314
GeoBeer #14,female,56,39.71631205673759
GeoBeer #14,male,85,60.28368794326241
GeoBeer #15,female,6,21.428571428571427
GeoBeer #15,male,22,78.57142857142857
GeoBeer #16,female,23,36.507936507936506
GeoBeer #16,male,40,63.49206349206349
GeoBeer #17,female,14,23.728813559322035
GeoBeer #17,male,45,76.27118644067797
GeoBeer #18,female,16,30.76923076923077
GeoBeer #18,male,36,69.23076923076923
GeoBeer #7,female,14,31.11111111111111
GeoBeer #7,male,31,68.88888888888889
GeoBeer #8,female,17,21.794871794871796
GeoBeer #8,male,61,78.2051282051282
GeoBeer #9,female,8,22.22222222222222
GeoBeer #9,male,28,77.77777777777779
